Registration Number,registration data,status,owner,title,МКТУ,inspiration date,number of bulletin,bulletin data,img url,Page url
985,05.04.1995,Действует,Мерисант Компани 2 Сарл (CH)(US),САNDЕRЕL,"05, 30",30.07.2003,3,15.04.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43068
2733,22.08.1995,Действует,Тьюлип Фуд Компани А/С (DK)(DK),ТULIР,"29, 30, 31",28.10.2013,4-2,16.12.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2733_ctl01&DXRefresh=00922502-607b-4342-a646-9fd009e806fc,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43069
2796,22.08.1995,Действует,Байер Акциенгезелльшафт (DE)(DE),ВАYЕR,"01, 02, 03, 04, 05, 17, 21, 22, 23, 24, 25, 27",29.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2796_ctl01&DXRefresh=7b820fdf-4bb2-4cc7-947d-15a523170ffd,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43070
2798,22.08.1995,Действует,Байер Акциенгезелльшафт (DE)(DE),ВАYЕR,"01, 02, 03, 04, 05, 16, 17, 21, 22, 23, 24, 25, 27",29.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2798_ctl01&DXRefresh=3f4ce2f9-2604-45e3-bc2a-b794710a4114,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43071
2811,23.08.1995,Истек,Байер Акциенгезелльшафт (DE)(DE),SILОРRЕN,"01, 17",29.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43072
1283,05.04.1995,Истек,"Сумитомо Кемикал Ко., ЛТД. (JP)(JP)",SUМIКАТНЕNЕ,01,08.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43073
1287,05.04.1995,Действует,"Сумитомо Кемикал Ко., ЛТД. (JP) (JP)",GОКILАНТ,"01, 05",08.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43074
1288,05.04.1995,Действует,"Ориент Токей Кабусики Кайся (торгующая также как Ориент Уотч Ко., Лтд.) (JP)(JP)",ОRIЕNТ,09,08.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43075
1296,05.04.1995,Действует,Киккоман Корпорейшн (JP)(JP),КIККОМАN ТЕRIYАКI,30,09.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image1296_ctl01&DXRefresh=99d04953-2eb5-4de0-9e93-8bcd67af7bd8,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43076
2138,11.07.1995,Действует,Мейденформ Эл-Эл-Си (US)(US),МАIDЕNFОRМ,25,21.10.2003,2-2,15.03.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43077
2704,22.08.1995,Действует,Аспен Глобал Инкорпорейтед(MU),АLКЕRАN,05,28.10.2013,4-2,16.12.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43078
2690,22.08.1995,Истек,Файсонс Лимитед(GB),SРINНАLЕR,10,28.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43079
2343,16.07.1995,Истек,"Малое коллективное предприятие рекламно-информационное агентство ""Рикки""(KZ)",РИККИ,"16, 35",22.12.2003,3-2,16.09.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2343_ctl01&DXRefresh=f93831c2-45ee-4cef-9a38-25b5b1b64be7,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43080
2345,16.07.1995,Истек,"Малое частное предприятие ""ТВЛ"" (KZ)(KZ)",ТВЛ,"06, 07, 35",28.02.2004,3-2,16.09.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2345_ctl01&DXRefresh=cbf49212-9bca-4b26-b8e5-a9c2a38a0c88,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43081
2414,17.07.1995,Истек,Уральский кожевенно-обувной завод (KZ)(KZ),УЛ,"18, 25",22.10.2003,3-2,16.09.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2414_ctl01&DXRefresh=94f0d9a7-ee9c-4253-969f-ad4dcd23bd0b,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43082
3806,26.02.1996,Истек,"Орион-Авиа, Авиационное предприятие (KZ)(KZ)",ОRSI,"35, 37, 39",13.08.2003,3-2,16.09.1997,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image3806_ctl01&DXRefresh=bb100b3d-19e4-40d9-b754-8624f09af672,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43083
2415,17.07.1995,Истек,Актюбинский государственный медицинский институт (KZ)(KZ),АХРОМЫС,"41, 42",22.10.2003,3-2,16.09.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2415_ctl01&DXRefresh=612d2949-9461-498d-9b7c-259d1a0365c7,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43084
2883,24.08.1995,Истек,"С.К. Джонсон энд Сан, Инк., корпорация штата Висконсин (US)(US)",ВIОSРRАY,03,29.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43085
